               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 107,            0.042813,            0.012004,                   0,             0.93577,             0.87556,             0.92438,             0.55058,            0.036711,            0.011112,                   0,           0.0097803,           0.0097803,           0.0097803
                 108,            0.043421,            0.013739,                   0,             0.94975,             0.87848,             0.93237,             0.55941,            0.036733,             0.01124,                   0,           0.0097761,           0.0097761,           0.0097761
                 109,            0.042634,            0.011672,                   0,              0.9454,             0.88263,             0.91673,             0.55935,            0.036707,            0.011163,                   0,            0.009772,            0.009772,            0.009772
                 110,            0.043957,            0.012526,                   0,             0.92546,             0.91304,             0.93076,             0.56947,            0.035811,            0.011241,                   0,           0.0097678,           0.0097678,           0.0097678
                 111,            0.042367,            0.012308,                   0,             0.92807,             0.91004,              0.9262,             0.51469,            0.038699,            0.011543,                   0,           0.0097635,           0.0097635,           0.0097635
                 112,            0.041152,            0.012179,                   0,             0.95221,             0.87256,             0.91918,             0.53452,            0.037892,            0.011286,                   0,           0.0097592,           0.0097592,           0.0097592
                 113,            0.043508,            0.012206,                   0,             0.94536,             0.90792,             0.93147,             0.55439,            0.036867,            0.011439,                   0,           0.0097549,           0.0097549,           0.0097549
                 114,            0.042572,            0.012555,                   0,             0.95568,             0.88606,             0.92264,             0.55736,            0.035961,            0.011169,                   0,           0.0097506,           0.0097506,           0.0097506
                 115,            0.043927,            0.012888,                   0,              0.9467,             0.90548,             0.92823,             0.56692,            0.035094,            0.011066,                   0,           0.0097462,           0.0097462,           0.0097462
                 116,            0.040094,            0.011739,                   0,             0.94417,             0.88756,             0.91367,             0.52796,            0.037129,            0.011071,                   0,           0.0097418,           0.0097418,           0.0097418
                 117,            0.043163,            0.012956,                   0,             0.95561,             0.90405,             0.93341,             0.56913,            0.035874,            0.010889,                   0,           0.0097373,           0.0097373,           0.0097373
                 118,            0.040434,            0.011604,                   0,             0.94611,               0.895,             0.91474,             0.54621,            0.036521,            0.010881,                   0,           0.0097328,           0.0097328,           0.0097328
                 119,            0.042693,            0.012067,                   0,             0.94936,             0.89935,             0.93845,             0.55723,            0.037308,            0.011158,                   0,           0.0097283,           0.0097283,           0.0097283
                 120,            0.043289,            0.011993,                   0,             0.95418,             0.90705,             0.93268,             0.57418,            0.034808,            0.011033,                   0,           0.0097237,           0.0097237,           0.0097237
                 121,              0.0419,            0.012005,                   0,             0.95659,             0.89202,             0.93387,             0.56968,            0.035712,            0.011171,                   0,           0.0097191,           0.0097191,           0.0097191
                 122,            0.043358,            0.013319,                   0,             0.94855,             0.88444,             0.92211,             0.56266,            0.035618,            0.011079,                   0,           0.0097145,           0.0097145,           0.0097145
                 123,            0.039823,            0.012197,                   0,             0.93543,             0.89053,             0.93195,             0.56523,            0.036423,            0.011017,                   0,           0.0097098,           0.0097098,           0.0097098
                 124,            0.042386,            0.012389,                   0,             0.94089,             0.90686,             0.93623,             0.57141,            0.034883,            0.010858,                   0,           0.0097051,           0.0097051,           0.0097051
                 125,             0.04275,            0.012092,                   0,             0.97152,             0.86934,             0.94108,             0.57544,            0.034734,            0.010981,                   0,           0.0097003,           0.0097003,           0.0097003
                 126,            0.040836,             0.01245,                   0,             0.94008,             0.91741,             0.93977,             0.57777,             0.03409,            0.011025,                   0,           0.0096955,           0.0096955,           0.0096955
                 127,            0.039734,            0.011493,                   0,             0.93062,             0.88906,             0.92663,             0.56599,            0.035335,             0.01091,                   0,           0.0096907,           0.0096907,           0.0096907
                 128,            0.039641,            0.011245,                   0,             0.93187,             0.90232,             0.93654,             0.54849,            0.036639,            0.011105,                   0,           0.0096858,           0.0096858,           0.0096858
                 129,            0.042977,            0.012171,                   0,             0.92401,             0.91153,             0.92999,             0.53235,            0.037568,            0.011261,                   0,           0.0096809,           0.0096809,           0.0096809
                 130,            0.042239,            0.012074,                   0,             0.93962,             0.90998,             0.93438,              0.5737,            0.034236,            0.011035,                   0,            0.009676,            0.009676,            0.009676
